Contents,Province,Date,Users,like_counts
我五一买两趟都是买的全程票，即使差一个站也不行。 还有后补能不能只接受同城同站新增班次,其他,Mon Apr 22 18:30:50  2024,一笑7780,0
理解想将就长途[泪]但是人家长途没人买，那么多余票，短途的就不能放一下票吗？长途没那么多人，票用不了也不能给短途吗[泪],北京,Mon Apr 22 18:30:34  2024,2025_11,1
按时长区分设置一下短长途，短途增加往返接驳，参考地铁区间接驳，现实吗[思考],其他,Mon Apr 22 18:30:01  2024,JJme佳姐,0
后台实现根据乘车下车站算费用，多了退掉就好了,山东 日照,Mon Apr 22 18:29:40  2024,因鉨而起,0
一天到晚扯淡,浙江 杭州,Mon Apr 22 18:28:09  2024,小灰灰Tenny,0
“买长乘短”能不能管管，少买后面补票可以理解，多买中间站乘车或者提前下车这样也行？多买的不退，非全程需要乘车的人根本买不到票[微笑],海外 其他,Mon Apr 22 18:22:16  2024,懒旳解释,0
行了，摆明了就是要买长坐短呗，4.30-5.6号没有一天有票，跟你们拼命[可爱],其他,Mon Apr 22 18:21:44  2024,元小宵QAQ,0
长途的全程票候补后不久就会放票的。,其他,Mon Apr 22 18:21:31  2024,WayToLiverpool,0
12306吃相太难看了吧,北京 石景山区,Mon Apr 22 18:19:09  2024,北京_老高,3
本来就是优先考虑长途票的,其他,Mon Apr 22 18:19:04  2024,WayToLiverpool,0
后面可能就候补到了,其他,Mon Apr 22 18:17:43  2024,小猪的蜉蝣世界,0
还有无耻的，我要订下铺，你没下铺就别随意给别人选床铺好吗，没有指定的位置就别私自做主啊！退了票又不要脸的收一次手续费！,其他,Mon Apr 22 18:17:18  2024,宁静冬季lo,0
规则优先分配长途的人没问题啊，短途可以选择别的交通工具吧[笑cry][笑cry][笑cry],北京,Mon Apr 22 18:15:01  2024,飞鸟不吃鱼_,0
怎么不让中途下车了？,其他,Mon Apr 22 18:14:11  2024,何來塵埃非舞,0
解释权归12306呗,河南,Mon Apr 22 18:13:25  2024,As_Young杨杨,0
[doge]也很多买短乘长,福建 泉州,Mon Apr 22 18:13:20  2024,啊乐可乐派1,0
请注意措辞，什么叫纵容，要是有票，谁愿意多花这段钱?,福建 厦门,Mon Apr 22 18:13:17  2024,波波不是土播鼠,0
那能怎么办呢，为了有车做，多花点钱能坐上就行,北京 东城区,Mon Apr 22 18:12:54  2024,NewLiving16,0
就是呗，回家的票五百多只能买九百多的长途回去[太开心],海外 西班牙,Mon Apr 22 18:12:50  2024,哟小冰,0
优先长途明显更靠谱哎，离家远的，抢到票了，万分感谢,其他,Mon Apr 22 18:12:44  2024,汪汪队二哈在种地,1
本来就是优先长途啊[汗]什么叫纵容 搞笑吗一群人,其他,Mon Apr 22 18:12:05  2024,远卿wink,0
铁总不是慈善机构，铁总是公司，好吧,广东 韶关,Mon Apr 22 18:11:47  2024,熊猫先生Q,0
长途优先理解，但是为什么不退差价呢，补票都能实现，退差价却不可以[允悲][允悲],四川,Mon Apr 22 18:10:46  2024,偶尔爱抽风,0
过年的时候根本买不到目的地的车票。只能买全程的车票[怒]，很明显地看出来，12306把全程的票放的最多,其他,Mon Apr 22 18:10:36  2024,西西洛洛小灰,0
为什么以前没有这样的问题[疑问],江苏 无锡,Mon Apr 22 18:10:33  2024,peter08_c,0
那怎么同一趟车厦门到武汉站没票，必须加几十块坐到汉口站有票呢？这也是优先满足长途旅客的需求吗[微笑][微笑],其他,Mon Apr 22 18:10:30  2024,IMike16,0
在资源有限的情况下，优先长途旅行是一种符合常识和公平原则的做法。短途回家的方式太多了。,其他,Mon Apr 22 18:10:00  2024,春暖花开笑看风云,0
谁愿意买长乘短，要多花钱的。清明假期凤凰古城到长沙没票，张家界到长沙就有票，候补到最后一天也补不到，只能买张家界从凤凰古城上车。,黑龙江 哈尔滨,Mon Apr 22 18:09:28  2024,昕宝11,0
这个写法是有毛病吧，优先长途是肯定的啊，最大化铁路运力，短途出行选择也多你是理解不了吗？@二三里资讯,上海,Mon Apr 22 18:09:02  2024,大饼加一切ohoo,0
高铁基本在白天运行，大幅减少夕发朝至普列，是票源紧张的主要原因之一。,山东 泰安,Mon Apr 22 18:08:41  2024,淡淡_季,0
我买票回天津被迫买全程到哈尔滨，一个人一张票多花近200元,天津,Mon Apr 22 18:08:09  2024,向日葵不向阳_2023,0
没错！已经不止一次只有买长才能买到回家的票了！,广东 广州,Mon Apr 22 18:07:10  2024,苦苦苦苦苦瓜,0
割韭菜新方式是吧，开票即候补是吧，12306你到底是国营还是私企，不是服务百姓，而是利益至上是吧，就差51这5天的仨瓜俩枣，脸都不要了[污],其他,Mon Apr 22 18:07:10  2024,请叫我全名兔兔,0
一言难尽。节假日出行人流量太大了，最简单的方案就是一律按照全程票全放出来，这样既能照顾到真正有这种全程需求的旅客，也能实现票价收益最大，确实(以及被迫)全程出行的需求释放的差不多了再放区间票。其实反过来想，铁路运营了这么多年，真实客流量数据总是有的吧？下一步就是区间票涨价[笑cry],其他,Mon Apr 22 18:06:20  2024,日间恬淡内守,0
过年的时候有几个没这样买的，小站根本不放票,上海 松江区,Mon Apr 22 18:05:46  2024,大懿E,0
没办法，节假日不买长等着放区间票那还有票,山西,Mon Apr 22 18:04:44  2024,ARTHUR时代,0
12306和调休一样，都成了官方流氓平台,上海 松江区,Mon Apr 22 18:04:10  2024,Faithvoez26,0
官方回应：优先满足长途旅客，也可以选择“买长乘短”】[怒]真是傲慢，说这种话好意思吗？完全不考虑乘客的需求,浙江 杭州,Mon Apr 22 18:03:53  2024,好运20130508,0
我也是啊，买石家庄到深圳没票，需要买北京到深圳,其他,Mon Apr 22 18:03:34  2024,Seren影,0
你们为了推动私有化真的急死了呀[笑哈哈][笑哈哈][笑哈哈],其他,Mon Apr 22 18:03:08  2024,Amistymoon,0
为什么给终点留那么多票？担心买短途上车不补票？？？出站不是还得刷身份证？？？,其他,Mon Apr 22 18:02:45  2024,薄荷叻,0
靠实力抢，这至少公平。靠算法限制，还厚脸皮说买长乘短！这特么叫只顾挣钱无耻。我想知道，修铁路造高铁会不会用纳税人的钱？如果用，那都是纳税人，我凭什么要被算法排在后面？,四川 成都,Mon Apr 22 18:02:34  2024,老師教壞我咯,0
最好不要买长乘短吧，毕竟短途的还有多种交通方式可选，长涂的买不到可就真的回不去了。,其他,Mon Apr 22 18:02:21  2024,_一个好孩子,0
可是都几天了 要买长途的早买了 短途的也该放票了吧,其他,Mon Apr 22 18:01:53  2024,福芙啵哒,0
都没一个人管管,北京 朝阳区,Mon Apr 22 18:01:52  2024,我是啦啦啦啦啦咯,0
为啥长途票不能跳出来提醒部分站可能需要站，那就能解决短途行卡住长途行的问题了啊,上海 徐汇区,Mon Apr 22 18:01:37  2024,牛小丫粑比,0
难道优先长途难道不比把票钱给黄牛强吗………这两年明显比前两年好多了……至少我最两年后补不用掏黄牛的钱了。以前都是票价+黄牛的百八十块才是真实票钱………,湖南 长沙,Mon Apr 22 18:01:26  2024,霹雳火火大魔王,0
短途自己开车或者自己搭车呗[汗]你别搞乱市场生意啊，汽车公司要骂人了,其他,Mon Apr 22 18:01:27  2024,yl四海,0
[汗]候补功能是干啥的你懂吗？要么你买放出来的长程票，要么你老老实实等长程票时间到了有空位递补你的短程票，有问题？,其他,Mon Apr 22 18:01:24  2024,未验证行星,0
往年怎么都可能买到票，临出行肯定有票。现在想都不要想。一刷新连无座票都是灰色了,其他,Mon Apr 22 18:01:10  2024,薄荷叻,0
铁路都是赔钱运营......现在全外包了都,天津,Mon Apr 22 18:00:40  2024,开吃薯条,0
有过两次买长乘短的经历，给家里老人买的。,山西 太原,Mon Apr 22 18:00:40  2024,桥言桥语,0
最强黄牛,广东 广州,Mon Apr 22 18:00:19  2024,暖暖暖_阳,0
收钱最重要[doge][doge][doge],其他,Mon Apr 22 17:59:53  2024,IIIWZIII,1
太对了，今年春节清明两次分别回奶奶和姥姥家，抢票都是买长了才有可能抢到票，不是始发站和终点站，卧铺别考虑，没放票,辽宁 沈阳,Mon Apr 22 17:59:52  2024,furiousMonkey,0
长途的都去坐火车 短途的买不到票都去坐飞机 是这样吗[哼],湖北 武汉,Mon Apr 22 17:59:52  2024,璐璐v七分熟,0
除了广铁 现在有哪个局是盈利的   全程长途肯定是最优先保障 然后发车前几天再放区间票 不要质疑别人在那个数量级下的计算,广东 汕头,Mon Apr 22 17:59:37  2024,景页三水,0
注意吃相,湖北 武汉,Mon Apr 22 17:59:34  2024,韵苏公子阁,0
强买强卖,其他,Mon Apr 22 17:59:23  2024,手机用户1005430880,1
还是都去排队拿票吧。[doge][doge][doge],广东,Mon Apr 22 17:58:57  2024,真话多点好,0
12306才是最大的垄断集团,其他,Mon Apr 22 17:58:31  2024,李米的梦想,2
还不是人太多太多,湖北 武汉,Mon Apr 22 17:58:24  2024,L枫林晚风,0
不是纵容 是不放票区间票 逼得大家不得不多买,其他,Mon Apr 22 17:57:53  2024,沐阳欣欣丫儿,0
买长乘短是被逼的好吗！！！再说了，又没少给钱，凭什么不给买！,广东 广州,Mon Apr 22 17:57:51  2024,宣筱棠,1
何止是纵容，分明就是推动者，短途需求根本就买不到票，被迫只能买全程票，恶心死了,上海,Mon Apr 22 17:57:47  2024,飞翔的荷兰人lucky,0
不要调休，这个问题就解决了一半。,广东 深圳,Mon Apr 22 17:57:43  2024,KA_SS,0
勾史一坨,其他,Mon Apr 22 17:57:38  2024,高山积雪的微博,0
是的,辽宁 沈阳,Mon Apr 22 17:57:37  2024,Sophiasister,0
这样不就利益最大化了嘛,其他,Mon Apr 22 17:57:35  2024,豆角焖面667,0
这特么叫纵容？你坐地铁提前下也是纵容你？,其他,Mon Apr 22 17:57:31  2024,睡觉了过了那么久,0
求你别多买到唐山的！我也想回家啊啊啊啊[泪][泪][泪][泪][泪][泪][泪][泪],河北 唐山,Mon Apr 22 17:57:11  2024,沙雕趁年华,0
我买漯河_广州没有，许昌_广州没有，郑州始发站_广州有,广东 广州,Mon Apr 22 17:57:06  2024,萱草xz1018,0
不多买几站根本抢不到票，铁路是做到每站座位都卖出去了，但老百姓并不能按需所得。,上海 闵行区,Mon Apr 22 17:57:02  2024,Kylinhikalu,0
吃相太难看！,山东 济南,Mon Apr 22 17:56:50  2024,张柏颜,0
我也是，多花80多，多买了两站就有钱,安徽 滁州,Mon Apr 22 17:56:50  2024,Shanna酱,0
能理解优先长途，但是也不能一直不放短途的票啊，一定要等到发车前两三天才放短途票吗？那万一等到那会儿，最后也没有候补上票怎么办？不是所有短途都有大巴车可以回的，有些有大巴车班次也不多，等候补不到再去买汽车票可能就没有了，提前买汽车票万一又候补上了，退票又要扣钱[苦涩][苦涩][苦涩],其他,Mon Apr 22 17:56:43  2024,孑则虞,0
就没人管了？,其他,Mon Apr 22 17:56:36  2024,沐阳欣欣丫儿,0
缺德啊,安徽 芜湖,Mon Apr 22 17:56:33  2024,白美不富_6kp,0
[融化]有没有人考虑一下十几二十个小时的所谓短途啊[融化]说让买无座、换交通工具的[融化]我要是能有比这个更方便的我也不至于坐一天的火车了[融化],四川 眉山,Mon Apr 22 17:56:23  2024,打碎了月亮yu,0
有猫腻,其他,Mon Apr 22 17:56:13  2024,沐阳欣欣丫儿,0
买过[拜拜],广东 揭阳,Mon Apr 22 17:56:05  2024,孫泽曼HAHA,0
中途刷票很难，多买几站才有票！很过分！,其他,Mon Apr 22 17:55:59  2024,我是hanziing,0
关键买长乘短也买不到票[裂开][裂开][裂开]神金,河南 信阳,Mon Apr 22 17:55:15  2024,想航了,0
建议类似股票交易，搞个撮合，一个时间段集中提交请求，然后以满座率最高的方式出票[doge][doge][doge],重庆 江北区,Mon Apr 22 17:55:06  2024,_浅草没马蹄_,0
有些人的智商就理解不了什么为什么叫长途优先，短途有其他交通方式，长途除了火车飞机还有啥？？,陕西,Mon Apr 22 17:54:40  2024,太阳照常升起66,0
恶心坏了,北京 东城区,Mon Apr 22 17:54:33  2024,海盐加汽水,0
五一从苏州回北京，只能买从上海的,北京 东城区,Mon Apr 22 17:54:27  2024,点-竖撇捺,0
实际上确实只有这样才有可能买上票,北京,Mon Apr 22 17:54:16  2024,桃子开心0424,0
毕竟要赚钱的[并不简单],广东 深圳,Mon Apr 22 17:54:11  2024,宫城浪花,0
我从萍乡去长沙没有票，只能候补。但是可以买从萍乡去韶山的[失望][失望][失望][失望][失望],江西 萍乡,Mon Apr 22 17:53:33  2024,红烧小汤圆,0
整顿吧 买长乘短 多不退少补 按时间段收费,河南 郑州,Mon Apr 22 17:53:28  2024,Ohyoyo,0
我北京到苏州永远没票 北京到上海就有票 多花40块钱 （如果我从济南到苏州 就要多花几百块）,江苏 苏州,Mon Apr 22 17:53:12  2024,wliuenli,0
这还用质疑，明摆着就是啊[鄙视],北京 朝阳区,Mon Apr 22 17:53:08  2024,山坡下的萨满,0
大家认为的短途：北京到天津，杭州到上海。 12306认为的短途：只要不是全程就是短途，北京到上海是全程，北京到苏州就是短途。,其他,Mon Apr 22 17:53:06  2024,青青碧草绿油油1999,0
可以选择不坐的 可以选择其它交通工具,广东 广州,Mon Apr 22 17:53:06  2024,CC0807蔡蔡,0
潍坊到威海为什么也抢不到票？还有威海到镇江淄博到威海,海外,Mon Apr 22 17:52:59  2024,棒槌大王___,0
12306不一直这样[嘻嘻],福建,Mon Apr 22 17:52:37  2024,狼牙土豆真好吃-,0
不应该优先短途吗？这样短途解决了，长途的可以多买一张（同车换乘），但价格还是一样的。这样载客率也不会少，,其他,Mon Apr 22 17:52:07  2024,微马ciao,0
[doge],广东 深圳,Mon Apr 22 17:52:06  2024,MrC_陈炜佳,0
垄断你就这样吗！几千年的尿性还不清楚吗[二哈],其他,Mon Apr 22 17:52:06  2024,会翻跟头的乔克叔叔,0
建议把放票的数量和还未放出来的数量公开[doge][doge][doge],江西 赣州,Mon Apr 22 17:51:39  2024,空白i剧本,0
不用质疑，就是事实，草，服了,其他,Mon Apr 22 17:51:25  2024,宋儿i,0
在家呆着不好吗,其他,Mon Apr 22 17:51:17  2024,TrueMCLGOR,0
短途出行方式多，可以开车可以大巴，长途只有飞机火车，就是应该优先长途 我回家一千多公里，能抢上票太不容易啦！,其他,Mon Apr 22 17:51:09  2024,l-m-c-c001,0
这么多人竟然能吵得起来，当然要优先长途了，铁路怎么可能为了考虑利益最大化把票分开卖，本来就是利民的基建项目,上海 松江区,Mon Apr 22 17:50:59  2024,暮白白白白白,0
买到回家的票了，但是没买到回学校的[微笑][微笑][微笑][微笑][微笑][微笑],其他,Mon Apr 22 17:50:51  2024,酷酷反常天使,0
利益最大化的算法，,湖北 十堰,Mon Apr 22 17:50:50  2024,倪白尔,0
这不是纵容，这是逼迫。明明有票不让短途买，逼着买长途。就为了空座率低！！什么时候公共交通也变成了资本家吃相。求求放开短途票，行程不想被打乱啊啊啊啊,浙江,Mon Apr 22 17:50:31  2024,一座岛屿屿屿,0
这不废话嘛,甘肃 兰州,Mon Apr 22 17:50:27  2024,JemmyshenUP,0
问题是如果没有票是事实，为什么多买就有票？就不该给消费者打开多买通道，这样只会越搞越乱。这种真的垃圾[吐][吐][吐],吉林 长春,Mon Apr 22 17:50:11  2024,妞妞多吃点_,0
不管怎么样都满足不了所有人,浙江 温州,Mon Apr 22 17:49:55  2024,万事皆已定_妄做改命人,0
不能自动匹配座位吗？，哪怕同一趟车出两张票三张票不同座位也可以啊[允悲],海外 其他,Mon Apr 22 17:49:53  2024,夏大大大大天,0
优先远途的，一直都这样吧，感觉也可以理解,其他,Mon Apr 22 17:49:53  2024,灬莫小兮灬,0
长途也买不到，被逼买全程[微笑],其他,Mon Apr 22 17:49:51  2024,大人de日记,0
怎么高铁也挣黑钱吗？,陕西 西安,Mon Apr 22 17:49:43  2024,墙角的木方方,0
长途优先能理解，但换乘票买不到说路程冲突就不能理解了，哪怕就是站票也行呀！,广西 贺州,Mon Apr 22 17:49:14  2024,乡野经典中医,0
买票千万不要用12306买，简直坑的要死。踩点买票，到点就是售罄，然后在第三方软件，票多的很[黑线][黑线]，,其他,Mon Apr 22 17:49:07  2024,爱上木木的猪,0
确实 福建到杭州没有 厦门到杭州有[笑cry],其他,Mon Apr 22 17:48:35  2024,网友ii,0
今年看到有余票 但是抢不了，只有去携程加钱就可以买,贵州 安顺,Mon Apr 22 17:48:25  2024,Dumdd,0
我这次回去多买了五个站的[苦涩],山东 青岛,Mon Apr 22 17:48:19  2024,小羊咩咩今天没有摘到星星,2
不买长乘短你看到有票充足就是买不上,其他,Mon Apr 22 17:48:10  2024,栖九啊,0
长途优先，理解。,天津,Mon Apr 22 17:47:53  2024,岁末狂欢,0
买到了，也是多买了一段路，不然没票,四川 成都,Mon Apr 22 17:47:40  2024,聆听风韵ff,0
接受审判吧,其他,Mon Apr 22 17:47:38  2024,沐阳欣欣丫儿,0
搞不懂，照理说车票不应该这么如此难买，整成饥饿营销了,四川 成都,Mon Apr 22 17:47:32  2024,丸子不好吃才怪,0
买长乘短，还不如买短补票,广东 广州,Mon Apr 22 17:47:09  2024,W素N,0
现在就是买全程，票源充足，区间段根本没票，app还会卡死[允悲]没办法，只能加价买全程,湖南 长沙,Mon Apr 22 17:47:08  2024,薛小样,0
假设你有一辆出租车要拉客，有4个客人你只能拉3个，其中有一位客人中途就下车你要少赚10块钱，另外三个都是到终点站能多赚十块钱。那你是不是会拉都到终点站的那3个客人呢？[微笑][微笑][微笑]利益没发生在你身上而已，说这些话,其他,Mon Apr 22 17:47:04  2024,说来也真是奇怪,0
就在刚刚呀，买回程票，只有长程有票[跪了],吉林,Mon Apr 22 17:46:55  2024,乖巧可爱o,0
我朋友过年返工，买不到票，被迫站了7个多小时的高铁回的单位[允悲]，才花几十[笑cry],北京,Mon Apr 22 17:46:46  2024,执手听风吟_,0
对,陕西 西安,Mon Apr 22 17:46:45  2024,一直向前走不停,0
我觉得12306还要重点保障下因故停运导致退票的后续相关服务，不能退了票了就不管了。,海外 塞浦路斯,Mon Apr 22 17:46:38  2024,在下Bosco,0
理解一下[doge],湖南 长沙,Mon Apr 22 17:46:32  2024,a啦啦啦我还有,0
